Arn_x,DataSetId,Name,CreatedTime,LastUpdatedTime,ImportMode,RowLevelPermissionTagConfigurationApplied,ColumnLevelPermissionRulesApplied,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn_y,LastUpdatedTime_IST
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/042f57f5-5974-44e3-94f0-eaf080a1f19f,042f57f5-5974-44e3-94f0-eaf080a1f19f,Daily rewarded ads watched Experiment wise - Redshift,2023-04-06 13:16:51.432000+00:00,2023-09-11 08:38:41.831000+00:00,SPICE,False,False,Daily rewarded ads watched Experiment wise - Redshift,5e5c8555-e4b2-4795-a65b-668fd2d0b346,DAILY,,,Asia/Calcutta,14:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/042f57f5-5974-44e3-94f0-eaf080a1f19f/refresh-schedule/5e5c8555-e4b2-4795-a65b-668fd2d0b346,2023-09-11 14:08:41.831000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/045a420c-02ae-46cc-bd8a-6a7afd742ba0,045a420c-02ae-46cc-bd8a-6a7afd742ba0,Novels Module - Popular Redshift,2023-03-28 15:11:41.668000+00:00,2023-09-10 13:30:05.513000+00:00,SPICE,False,False,Novels Module - Popular Redshift,aabc55cb-5b56-499d-bd11-69380320a609,DAILY,,,Asia/Calcutta,18:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/045a420c-02ae-46cc-bd8a-6a7afd742ba0/refresh-schedule/aabc55cb-5b56-499d-bd11-69380320a609,2023-09-10 19:00:05.513000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/048ee4a3-a5e3-438f-9b6c-c4f2bca444c5,048ee4a3-a5e3-438f-9b6c-c4f2bca444c5,Subs+PPV Exp Revenue Data Metrics - redshift,2023-08-04 08:55:12.439000+00:00,2023-09-11 08:46:54.269000+00:00,SPICE,False,False,Subs+PPV Exp Revenue Data Metrics - redshift,57b6e96b-fa62-44a3-9497-6d48434ba848,DAILY,,,Asia/Calcutta,13:15,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/048ee4a3-a5e3-438f-9b6c-c4f2bca444c5/refresh-schedule/57b6e96b-fa62-44a3-9497-6d48434ba848,2023-09-11 14:16:54.269000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04af7970-eb65-41a0-b6cc-404fdb0977ff,04af7970-eb65-41a0-b6cc-404fdb0977ff,Impressions Show Wise redshift,2023-04-03 02:37:30.633000+00:00,2023-09-10 15:19:03.746000+00:00,SPICE,False,False,Impressions Show Wise redshift,1d95401c-3f01-42b6-8bcf-3081d971a5c5,WEEKLY,SUNDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04af7970-eb65-41a0-b6cc-404fdb0977ff/refresh-schedule/1d95401c-3f01-42b6-8bcf-3081d971a5c5,2023-09-10 20:49:03.746000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04b35a7d-a1e5-47e1-9ab0-e3278f14e542,04b35a7d-a1e5-47e1-9ab0-e3278f14e542,North Star Metrics - Spenders Retention Pod Novel Redshift,2023-01-10 11:29:49.324000+00:00,2023-09-04 13:55:54.569000+00:00,SPICE,False,False,North Star Metrics - Spenders Retention Pod Novel Redshift,30c88a99-a03c-4032-b331-179670195440,WEEKLY,MONDAY,,Asia/Calcutta,18:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/04b35a7d-a1e5-47e1-9ab0-e3278f14e542/refresh-schedule/30c88a99-a03c-4032-b331-179670195440,2023-09-04 19:25:54.569000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc,054116d9-2b33-4f05-a429-cc771ab0c1bc,Show retention normalized,2023-05-19 10:12:14.697000+00:00,2023-09-09 15:00:33.132000+00:00,SPICE,False,False,Show retention normalized,d90b3644-a5d6-4c92-b071-a6d259a615eb,WEEKLY,TUESDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc/refresh-schedule/d90b3644-a5d6-4c92-b071-a6d259a615eb,2023-09-09 20:30:33.132000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc,054116d9-2b33-4f05-a429-cc771ab0c1bc,Show retention normalized,2023-05-19 10:12:14.697000+00:00,2023-09-09 15:00:33.132000+00:00,SPICE,False,False,Show retention normalized,ecf6df08-7036-4334-a058-1af68c326fce,WEEKLY,SATURDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc/refresh-schedule/ecf6df08-7036-4334-a058-1af68c326fce,2023-09-09 20:30:33.132000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/05559052-af18-4596-9386-a54e1dc65e37,05559052-af18-4596-9386-a54e1dc65e37,Novels Retention Redshift,2023-04-25 12:42:24.986000+00:00,2023-09-11 08:07:44.286000+00:00,SPICE,False,False,Novels Retention Redshift,d99a0895-0b67-46dc-a986-2d04af8cc32e,DAILY,,,Asia/Calcutta,11:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/05559052-af18-4596-9386-a54e1dc65e37/refresh-schedule/d99a0895-0b67-46dc-a986-2d04af8cc32e,2023-09-11 13:37:44.286000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0559c1c3-0af1-4c94-aa95-0ee532e0494d,0559c1c3-0af1-4c94-aa95-0ee532e0494d,Paying Users Retention on Trnx Date Cohort Novel Redshift,2023-01-10 09:15:01.906000+00:00,2023-09-04 14:00:25.206000+00:00,SPICE,False,False,Paying Users Retention on Trnx Date Cohort Novel Redshift,38ca65b8-3647-41da-bc40-fd6658f41d00,WEEKLY,MONDAY,,Asia/Calcutta,18:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0559c1c3-0af1-4c94-aa95-0ee532e0494d/refresh-schedule/38ca65b8-3647-41da-bc40-fd6658f41d00,2023-09-04 19:30:25.206000+00:00
arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06274d71-9885-4e49-a832-10effa52574f,06274d71-9885-4e49-a832-10effa52574f,OTP funnel Tracking_Redshift,2023-04-27 06:40:24.468000+00:00,2023-09-11 04:40:08.646000+00:00,SPICE,False,False,OTP funnel Tracking_Redshift,32ad6d7d-ce8f-4a44-bbb6-f29e9dd3a371,DAILY,,,Asia/Calcutta,09:45,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06274d71-9885-4e49-a832-10effa52574f/refresh-schedule/32ad6d7d-ce8f-4a44-bbb6-f29e9dd3a371,2023-09-11 10:10:08.646000+00:00
