DataSetId,DataSetName,ScheduleId,Interval,DayOfWeek,DayOfMonth,Timezone,TimeOfTheDay,RefreshType,Arn
054116d9-2b33-4f05-a429-cc771ab0c1bc,Show retention normalized,d90b3644-a5d6-4c92-b071-a6d259a615eb,WEEKLY,TUESDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc/refresh-schedule/d90b3644-a5d6-4c92-b071-a6d259a615eb
054116d9-2b33-4f05-a429-cc771ab0c1bc,Show retention normalized,ecf6df08-7036-4334-a058-1af68c326fce,WEEKLY,SATURDAY,,Asia/Calcutta,20:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/054116d9-2b33-4f05-a429-cc771ab0c1bc/refresh-schedule/ecf6df08-7036-4334-a058-1af68c326fce
05559052-af18-4596-9386-a54e1dc65e37,Novels Retention Redshift,d99a0895-0b67-46dc-a986-2d04af8cc32e,DAILY,,,Asia/Calcutta,11:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/05559052-af18-4596-9386-a54e1dc65e37/refresh-schedule/d99a0895-0b67-46dc-a986-2d04af8cc32e
0559c1c3-0af1-4c94-aa95-0ee532e0494d,Paying Users Retention on Trnx Date Cohort Novel Redshift,38ca65b8-3647-41da-bc40-fd6658f41d00,WEEKLY,MONDAY,,Asia/Calcutta,18:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0559c1c3-0af1-4c94-aa95-0ee532e0494d/refresh-schedule/38ca65b8-3647-41da-bc40-fd6658f41d00
06274d71-9885-4e49-a832-10effa52574f,OTP funnel Tracking_Redshift,32ad6d7d-ce8f-4a44-bbb6-f29e9dd3a371,DAILY,,,Asia/Calcutta,09:45,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06274d71-9885-4e49-a832-10effa52574f/refresh-schedule/32ad6d7d-ce8f-4a44-bbb6-f29e9dd3a371
06cdcb59-1ac3-4fb2-b984-a3a7c815458b,Interstestial Ads experiment v1 - Updated,40e1bdc6-4b90-4ac3-a229-ab5e4ee9480b,DAILY,,,Asia/Calcutta,14:43,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/06cdcb59-1ac3-4fb2-b984-a3a7c815458b/refresh-schedule/40e1bdc6-4b90-4ac3-a229-ab5e4ee9480b
077413e3-9e94-4e30-ad4f-d5948052786c,Rdau Eng Pending,1b59fb66-1788-41eb-b8b2-172a4c457e3a,DAILY,,,Asia/Calcutta,16:00,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/077413e3-9e94-4e30-ad4f-d5948052786c/refresh-schedule/1b59fb66-1788-41eb-b8b2-172a4c457e3a
07d4c20c-dc66-49e3-aa19-63694660caf8,AB Testing Activated Users Show Retention by Source,cd2cd375-4b7b-4f86-a774-df78bc22e75f,DAILY,,,Asia/Calcutta,17:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07d4c20c-dc66-49e3-aa19-63694660caf8/refresh-schedule/cd2cd375-4b7b-4f86-a774-df78bc22e75f
07f0ad4c-7f07-44d2-a3cb-b8c53901d832,Last Instance Spend Churn return Novels v2,67a90e5c-26f0-4f57-857c-a57a23b22897,WEEKLY,MONDAY,,Asia/Calcutta,16:59,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/07f0ad4c-7f07-44d2-a3cb-b8c53901d832/refresh-schedule/67a90e5c-26f0-4f57-857c-a57a23b22897
0801f3fb-5ac5-4382-ac78-e80ec9d57908,Show Revenue Lifetime_RedShift,07c0fea8-0761-4904-b272-e39b6806ae81,WEEKLY,TUESDAY,,Asia/Calcutta,11:50,FULL_REFRESH,arn:aws:quicksight:ap-southeast-1:856517911253:dataset/0801f3fb-5ac5-4382-ac78-e80ec9d57908/refresh-schedule/07c0fea8-0761-4904-b272-e39b6806ae81
